iter	Passed	Remaining
0	2	213
1	4	200
2	6	203
3	7	184
4	9	187
5	12	189
6	14	188
7	16	190
8	18	191
9	21	190
10	23	188
11	25	186
12	27	186
13	29	182
14	31	181
15	34	178
16	36	176
17	38	173
18	40	172
19	42	170
20	44	167
21	46	164
22	48	162
23	50	161
24	53	159
25	55	159
26	58	156
27	60	154
28	62	152
29	64	150
30	66	147
31	68	145
32	70	143
33	72	140
34	74	138
35	77	136
36	79	134
37	81	132
38	83	130
39	85	128
40	87	125
41	88	121
42	90	119
43	92	117
44	94	115
45	96	113
46	98	111
47	100	108
48	102	106
49	104	104
50	106	102
51	108	100
52	110	98
53	112	96
54	114	93
55	115	91
56	118	89
57	121	87
58	123	85
59	125	83
60	127	81
61	128	79
62	131	76
63	133	75
64	135	72
65	137	70
66	139	68
67	141	66
68	143	64
69	145	62
70	147	60
71	149	58
72	151	56
73	153	53
74	155	51
75	157	49
76	160	47
77	162	45
78	164	43
79	167	41
80	169	39
81	171	37
82	173	35
83	176	33
84	178	31
85	181	29
86	183	27
87	185	25
88	188	23
89	190	21
90	192	19
91	194	16
92	196	14
93	198	12
94	200	10
95	203	8
96	206	6
97	208	4
98	210	2
99	211	0
